stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"40,462",77.0,75.9,52563456,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,"6,556",83.4,87.8,7859172,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"54,654",76.6,75.3,71322396,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"25,053",78.0,76.9,32139581,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"196,250",47.4,46.4,414038940,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"39,439",70.0,70.4,56330254,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"21,827",55.6,51.1,39258959,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,"6,249",62.6,61.3,9985956,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,"4,447",65.1,62.1,6834793,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"150,162",71.1,65.6,211286695,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"64,825",60.2,61.7,107627369,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,"7,941",52.6,48.7,15110865,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,"11,807",67.9,68.7,17391750,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"73,956",52.5,51.2,140832714,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"46,585",65.1,64.3,71544578,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
